metric,value,bestValue,repo
sqale_index,1398,False,RODeO
sqale_rating,1.0,True,RODeO
duplicated_lines_density,1.2,False,ReEDS-2.0
reliability_rating,5.0,False,ReEDS-2.0
reliability_remediation_effort,175,False,ReEDS-2.0
security_rating,1.0,True,ReEDS-2.0
security_remediation_effort,0,True,ReEDS-2.0
sqale_index,13370,False,ReEDS-2.0
sqale_rating,1.0,True,ReEDS-2.0
duplicated_lines_density,16.7,False,Roseau_Load_Flow
reliability_rating,5.0,False,Roseau_Load_Flow
reliability_remediation_effort,134,False,Roseau_Load_Flow
security_rating,1.0,True,Roseau_Load_Flow
security_remediation_effort,0,True,Roseau_Load_Flow
sqale_index,2614,False,Roseau_Load_Flow
sqale_rating,1.0,True,Roseau_Load_Flow
duplicated_lines_density,9.7,False,SmartGridToolbox
reliability_rating,5.0,False,SmartGridToolbox
reliability_remediation_effort,2070,False,SmartGridToolbox
security_rating,5.0,False,SmartGridToolbox
security_remediation_effort,15,False,SmartGridToolbox
sqale_index,138609,False,SmartGridToolbox
sqale_rating,1.0,True,SmartGridToolbox
duplicated_lines_density,0.0,True,StarLite
reliability_rating,1.0,True,StarLite
reliability_remediation_effort,0,True,StarLite
security_rating,1.0,True,StarLite
security_remediation_effort,0,True,StarLite
sqale_index,211,False,StarLite
sqale_rating,2.0,False,StarLite
duplicated_lines_density,7.6,False,TESS
reliability_rating,5.0,False,TESS
reliability_remediation_effort,266,False,TESS
security_rating,5.0,False,TESS
security_remediation_effort,130,False,TESS
sqale_index,7182,False,TESS
sqale_rating,1.0,True,TESS
duplicated_lines_density,9.5,False,VeraGrid
reliability_rating,5.0,False,VeraGrid
reliability_remediation_effort,2945,False,VeraGrid
security_rating,5.0,False,VeraGrid
security_remediation_effort,40,False,VeraGrid
sqale_index,85279,False,VeraGrid
sqale_rating,1.0,True,VeraGrid
duplicated_lines_density,10.7,False,WPGNN
reliability_rating,3.0,False,WPGNN
reliability_remediation_effort,10,False,WPGNN
security_rating,1.0,True,WPGNN
security_remediation_effort,0,True,WPGNN
sqale_index,434,False,WPGNN
sqale_rating,1.0,True,WPGNN
duplicated_lines_density,0.2,False,ZEN-garden
reliability_rating,3.0,False,ZEN-garden
reliability_remediation_effort,12,False,ZEN-garden
security_rating,5.0,False,ZEN-garden
security_remediation_effort,60,False,ZEN-garden
sqale_index,1373,False,ZEN-garden
sqale_rating,1.0,True,ZEN-garden
duplicated_lines_density,1.8,False,andes
reliability_rating,3.0,False,andes
reliability_remediation_effort,105,False,andes
security_rating,1.0,True,andes
security_remediation_effort,0,True,andes
sqale_index,3975,False,andes
sqale_rating,1.0,True,andes
duplicated_lines_density,1.0,False,aristopy
reliability_rating,5.0,False,aristopy
reliability_remediation_effort,20,False,aristopy
security_rating,1.0,True,aristopy
security_remediation_effort,0,True,aristopy
sqale_index,1133,False,aristopy
sqale_rating,1.0,True,aristopy
duplicated_lines_density,3.5,False,assume
reliability_rating,5.0,False,assume
reliability_remediation_effort,246,False,assume
security_rating,5.0,False,assume
security_remediation_effort,1170,False,assume
sqale_index,3787,False,assume
sqale_rating,1.0,True,assume
duplicated_lines_density,32.2,False,bpa-ipf-tsp
reliability_rating,5.0,False,bpa-ipf-tsp
reliability_remediation_effort,2976,False,bpa-ipf-tsp
security_rating,4.0,False,bpa-ipf-tsp
security_remediation_effort,440,False,bpa-ipf-tsp
sqale_index,51921,False,bpa-ipf-tsp
sqale_rating,1.0,True,bpa-ipf-tsp
duplicated_lines_density,0.7,False,calliope
reliability_rating,5.0,False,calliope
reliability_remediation_effort,230,False,calliope
security_rating,5.0,False,calliope
security_remediation_effort,60,False,calliope
sqale_index,693,False,calliope
sqale_rating,1.0,True,calliope
duplicated_lines_density,3.4,False,chronix2grid
reliability_rating,5.0,False,chronix2grid
reliability_remediation_effort,278,False,chronix2grid
security_rating,1.0,True,chronix2grid
security_remediation_effort,0,True,chronix2grid
sqale_index,4351,False,chronix2grid
sqale_rating,1.0,True,chronix2grid
duplicated_lines_density,18.3,False,deeco
