num_downloads,month,project
7029,2025-10-01,pypowsybl
590,2025-10-01,minpower
503,2025-10-01,energysim
770,2025-10-01,pyetm
3547,2025-10-01,veragridengine
78,2025-10-01,python-microgrid
482,2025-10-01,pybalmorel
9229,2025-10-01,hybridbosse
610,2025-10-01,rheia-meca2675
253,2025-10-01,psst
1485,2025-10-01,esa
6345,2025-10-01,calliope
2659,2025-10-01,iesopt
1222,2025-10-01,opender
4074,2025-10-01,andes
1149,2025-10-01,assume-framework
228,2025-10-01,onsset
75,2025-10-01,pypower-dynamics
366,2025-10-01,dpsim
473,2025-10-01,h2integrate
14951,2025-10-01,pypower
3804,2025-10-01,message-ix
441,2025-10-01,nemopt
178,2025-10-01,pypownet
356,2025-10-01,switch-model
283,2025-10-01,osier
455,2025-10-01,roseau-load-flow
836,2025-10-01,grimsel
82,2025-10-01,digripy
1648,2025-10-01,opentepes
1522,2025-10-01,aristopy
11784,2025-09-01,pypowsybl
773,2025-09-01,nemopt
1488,2025-09-01,tz-osemosys
269,2025-09-01,ego
1968,2025-09-01,gridpath
27032,2025-09-01,pypower
359,2025-09-01,dieterpy
251,2025-09-01,microgrids
127,2025-09-01,digripy
714,2025-09-01,energysim
1406,2025-09-01,gridx-egret
110,2025-09-01,pownet
3116,2025-09-01,multi-vector-simulator
3360,2025-09-01,nempy
1099,2025-09-01,gridfm-graphkit
5136,2025-09-01,andes
3554,2025-09-01,powergama
149466,2025-09-01,power-grid-model
259,2025-09-01,villas-node
1578,2025-09-01,roseau-load-flow
1151,2025-09-01,pyehub
528,2025-09-01,dispatches
3488,2025-09-01,calliope
141,2025-09-01,h2integrate
17024,2025-09-01,grid2op
1612,2025-09-01,chronix2grid
3859,2025-09-01,opentepes
99,2025-09-01,python-microgrid
4082,2025-09-01,fine
3695,2025-09-01,mosaik
772,2025-09-01,energyscope
1285,2025-09-01,grimsel
478,2025-09-01,osier
802,2025-09-01,pybalmorel
1284,2025-09-01,matpower
618,2025-09-01,pyetm
8720,2025-09-01,zen-garden
636,2025-09-01,omegalpes
210,2025-09-01,pymfm
1499,2025-09-01,assume-framework
48407,2025-09-01,pypsa
618,2025-09-01,minpower
339,2025-09-01,deflex
2889,2025-09-01,esa
1546,2025-09-01,opender
336,2025-09-01,friendlysam
1405,2025-09-01,stepspy
425,2025-09-01,mescal
591,2025-09-01,dpsim
1090,2025-09-01,edisgo
1313,2025-09-01,amirispy
1875,2025-09-01,muse-os
1185,2025-09-01,tesp-support
199,2025-09-01,heron-ravenframework
368,2025-09-01,rheia-meca2675
145,2025-09-01,opensduc
224,2025-09-01,nrel-emerge
19833,2025-09-01,hybridbosse
973,2025-09-01,reho
103381,2025-09-01,pandapower
2296,2025-09-01,flixopt
6695,2025-09-01,message-ix
2091,2025-09-01,veragridengine
165,2025-09-01,emflow
249,2025-09-01,psst
172,2025-09-01,pypownet
359,2025-09-01,sustaingym
85,2025-09-01,pypower-dynamics
851,2025-09-01,switch-model
1083,2025-09-01,nrel-erad
335,2025-09-01,pycity-scheduling
1974,2025-09-01,iesopt
3316,2025-09-01,aristopy
6415,2025-09-01,hopp
1973,2025-09-01,onsset
105893,2025-09-01,nrel-pysam
349,2025-09-01,pymarket
957,2025-08-01,tesp-support
319,2025-08-01,dispatches
195,2025-08-01,onsset
1636,2025-08-01,assume-framework
342,2025-08-01,aristopy
621,2025-08-01,nemopt
1922,2025-08-01,nempy
127536,2025-08-01,power-grid-model
4061,2025-08-01,opender
164,2025-08-01,friendlysam
174,2025-08-01,nrel-emerge
97,2025-08-01,pymarket
526,2025-08-01,minpower
7668,2025-08-01,pypowsybl
1412,2025-08-01,message-ix
10369,2025-08-01,grid2op
1772,2025-08-01,esa
195,2025-08-01,ego
1563,2025-08-01,amirispy
354,2025-08-01,edisgo
836,2025-08-01,omegalpes
86,2025-08-01,digripy
1115,2025-08-01,gridpath
221,2025-08-01,dieterpy
69,2025-08-01,pypower-dynamics
2640,2025-08-01,multi-vector-simulator
162,2025-08-01,pymfm
168,2025-08-01,sustaingym
518,2025-08-01,gridx-egret
374,2025-08-01,energyscope
14575,2025-08-01,pypsa
61275,2025-08-01,pandapower
8779,2025-08-01,pypower
877,2025-08-01,powergama
353,2025-08-01,osier
183,2025-08-01,psst
173,2025-08-01,heron-ravenframework
112,2025-08-01,opensduc
103,2025-08-01,pownet
740,2025-08-01,gridfm-graphkit
273,2025-08-01,deflex
1040,2025-08-01,calliope
1474,2025-08-01,hybridbosse
10620,2025-08-01,zen-garden
1792,2025-08-01,tz-osemosys
1061,2025-08-01,stepspy
754,2025-08-01,fine
588,2025-08-01,roseau-load-flow
297,2025-08-01,rheia-meca2675
1401,2025-08-01,chronix2grid
1988,2025-08-01,opentepes
763,2025-08-01,hopp
342,2025-08-01,dpsim
484,2025-08-01,energysim
780,2025-08-01,veragridengine
527,2025-08-01,flixopt
1161,2025-08-01,grimsel
4604,2025-08-01,andes
123,2025-08-01,h2integrate
138,2025-08-01,emflow
53,2025-08-01,pypownet
927,2025-08-01,reho
62570,2025-08-01,nrel-pysam
1037,2025-08-01,matpower
236,2025-08-01,villas-node
67,2025-08-01,python-microgrid
663,2025-08-01,pyetm
1164,2025-08-01,nrel-erad
298,2025-08-01,pycity-scheduling
497,2025-08-01,switch-model
875,2025-08-01,iesopt
1804,2025-08-01,muse-os
230,2025-08-01,microgrids
191,2025-08-01,mescal
1976,2025-08-01,mosaik
526,2025-08-01,pyehub
625,2025-08-01,pybalmorel
2245,2025-07-01,opentepes
1617,2025-07-01,muse-os
9083,2025-07-01,zen-garden
121,2025-07-01,pownet
1299,2025-07-01,message-ix
234,2025-07-01,microgrids
1593,2025-07-01,iesopt
632,2025-07-01,osier
1396,2025-07-01,opender
1000,2025-07-01,nrel-erad
2164,2025-07-01,assume-framework
312,2025-07-01,dieterpy
222,2025-07-01,villas-node
365,2025-07-01,pycity-scheduling
551,2025-07-01,roseau-load-flow
9053,2025-07-01,pypowsybl
1245,2025-07-01,chronix2grid
64,2025-07-01,python-microgrid
1199,2025-07-01,calliope
1832,2025-07-01,mosaik
412,2025-07-01,gridx-egret
241,2025-07-01,friendlysam
372,2025-07-01,mescal
1125,2025-07-01,fine
682,2025-07-01,matpower
1917,2025-07-01,nempy
244,2025-07-01,onsset
99860,2025-07-01,power-grid-model
47521,2025-07-01,pandapower
1544,2025-07-01,flixopt
171,2025-07-01,h2integrate
539,2025-07-01,dpsim
85,2025-07-01,pypower-dynamics
801,2025-07-01,stepspy
469,2025-07-01,powergama
1067,2025-07-01,reho
903,2025-07-01,pybalmorel
471,2025-07-01,switch-model
519,2025-07-01,dispatches
5175,2025-07-01,andes
1181,2025-07-01,tz-osemosys
195,2025-07-01,nrel-emerge
159,2025-07-01,pymfm
6998,2025-07-01,pypower
319,2025-07-01,gridfm-graphkit
710,2025-07-01,tesp-support
349,2025-07-01,deflex
1635,2025-07-01,amirispy
462,2025-07-01,pyehub
1030,2025-07-01,hybridbosse
9901,2025-07-01,pypsa
142,2025-07-01,opensduc
255,2025-07-01,rheia-meca2675
489,2025-07-01,nemopt
56,2025-07-01,pypownet
232,2025-07-01,heron-ravenframework
443,2025-07-01,aristopy
1208,2025-07-01,grimsel
1045,2025-07-01,hopp
5882,2025-07-01,grid2op
154,2025-07-01,energyscope
57958,2025-07-01,nrel-pysam
460,2025-07-01,omegalpes
179,2025-07-01,emflow
216,2025-07-01,sustaingym
258,2025-07-01,ego
435,2025-07-01,edisgo
119,2025-07-01,digripy
852,2025-07-01,pyetm
793,2025-07-01,energysim
534,2025-07-01,minpower
2524,2025-07-01,multi-vector-simulator
176,2025-07-01,psst
1556,2025-07-01,gridpath
2141,2025-07-01,esa
84,2025-07-01,pymarket
44,2025-06-01,pypownet
2671,2025-06-01,opentepes
1197,2025-06-01,gridpath
3463,2025-06-01,andes
335,2025-06-01,pycity-scheduling
89,2025-06-01,digripy
640,2025-06-01,energysim
1248,2025-06-01,grimsel
379,2025-06-01,dispatches
642,2025-06-01,flixopt
182,2025-06-01,villas-node
1280,2025-06-01,chronix2grid
169,2025-06-01,emflow
1509,2025-06-01,muse-os
706,2025-06-01,hopp
51869,2025-06-01,nrel-pysam
952,2025-06-01,reho
215,2025-06-01,onsset
362,2025-06-01,switch-model
481,2025-06-01,tesp-support
216,2025-06-01,rheia-meca2675
88364,2025-06-01,power-grid-model
203,2025-06-01,nrel-emerge
925,2025-06-01,hybridbosse
255,2025-06-01,powergama
102,2025-06-01,opensduc
2164,2025-06-01,mosaik
192,2025-06-01,mescal
265,2025-06-01,friendlysam
5331,2025-06-01,pypower
8151,2025-06-01,pypowsybl
167,2025-06-01,sustaingym
492,2025-06-01,minpower
92,2025-06-01,pymarket
340,2025-06-01,edisgo
2032,2025-06-01,esa
1428,2025-06-01,opender
104,2025-06-01,energyscope
155,2025-06-01,psst
631,2025-06-01,gridfm-graphkit
227,2025-06-01,heron-ravenframework
224,2025-06-01,microgrids
5637,2025-06-01,grid2op
214,2025-06-01,ego
146,2025-06-01,pymfm
30820,2025-06-01,pandapower
608,2025-06-01,nemopt
407,2025-06-01,roseau-load-flow
963,2025-06-01,calliope
1185,2025-06-01,amirispy
2855,2025-06-01,multi-vector-simulator
1655,2025-06-01,assume-framework
170,2025-06-01,python-microgrid
1906,2025-06-01,message-ix
4055,2025-06-01,zen-garden
3114,2025-06-01,nempy
745,2025-06-01,stepspy
458,2025-06-01,pyehub
463,2025-06-01,gridx-egret
243,2025-06-01,dieterpy
505,2025-06-01,omegalpes
428,2025-06-01,aristopy
281,2025-06-01,osier
8774,2025-06-01,pypsa
414,2025-06-01,pyetm
455,2025-06-01,tz-osemosys
693,2025-06-01,pybalmorel
421,2025-06-01,dpsim
119,2025-06-01,h2integrate
884,2025-06-01,fine
1233,2025-06-01,iesopt
667,2025-06-01,matpower
63,2025-06-01,pypower-dynamics
204,2025-06-01,nrel-erad
342,2025-06-01,pownet
258,2025-06-01,deflex
924,2025-05-01,reho
675,2025-05-01,fine
51,2025-05-01,pypownet
265,2025-05-01,powergama
184,2025-05-01,friendlysam
173,2025-05-01,heron-ravenframework
82,2025-05-01,pypower-dynamics
448,2025-05-01,switch-model
325,2025-05-01,gridx-egret
937,2025-05-01,tesp-support
295,2025-05-01,rheia-meca2675
169,2025-05-01,python-microgrid
349,2025-05-01,dpsim
394,2025-05-01,nemopt
368,2025-05-01,minpower
135,2025-05-01,energyscope
917,2025-05-01,hopp
326,2025-05-01,edisgo
203,2025-05-01,dieterpy
585,2025-05-01,matpower
156,2025-05-01,psst
550,2025-05-01,pycity-scheduling
134,2025-05-01,emflow
98,2025-05-01,digripy
1440,2025-05-01,opender
505,2025-05-01,h2integrate
5858,2025-05-01,grid2op
3895,2025-05-01,andes
244,2025-05-01,sustaingym
1184,2025-05-01,iesopt
7688,2025-05-01,pypower
144,2025-05-01,opensduc
794,2025-05-01,calliope
284,2025-05-01,osier
1776,2025-05-01,opentepes
1084,2025-05-01,tz-osemosys
408,2025-05-01,omegalpes
2765,2025-05-01,nempy
164,2025-05-01,pymfm
1043,2025-05-01,gridpath
1715,2025-05-01,esa
3886,2025-05-01,zen-garden
1503,2025-05-01,chronix2grid
193,2025-05-01,onsset
82676,2025-05-01,power-grid-model
2081,2025-05-01,multi-vector-simulator
7227,2025-05-01,pypowsybl
476,2025-05-01,pyetm
347,2025-05-01,aristopy
781,2025-05-01,flixopt
619,2025-05-01,pybalmorel
1577,2025-05-01,muse-os
196,2025-05-01,nrel-erad
183,2025-05-01,mescal
183,2025-05-01,nrel-emerge
9633,2025-05-01,pypsa
98,2025-05-01,pymarket
1343,2025-05-01,message-ix
205,2025-05-01,ego
1201,2025-05-01,grimsel
204,2025-05-01,deflex
182,2025-05-01,microgrids
503,2025-05-01,roseau-load-flow
279,2025-05-01,villas-node
1043,2025-05-01,assume-framework
1362,2025-05-01,amirispy
52661,2025-05-01,nrel-pysam
51,2025-05-01,pownet
1604,2025-05-01,mosaik
1079,2025-05-01,hybridbosse
411,2025-05-01,pyehub
32437,2025-05-01,pandapower
1038,2025-05-01,stepspy
313,2025-05-01,dispatches
541,2025-05-01,energysim
1790,2025-04-01,tz-osemosys
320,2025-04-01,nrel-erad
4452,2025-04-01,multi-vector-simulator
681,2025-04-01,dieterpy
272,2025-04-01,energyscope
971,2025-04-01,dpsim
688,2025-04-01,powergama
1659,2025-04-01,muse-os
28382,2025-04-01,pandapower
1029,2025-04-01,pyetm
12768,2025-04-01,pypowsybl
448,2025-04-01,microgrids
2542,2025-04-01,chronix2grid
1072,2025-04-01,flixopt
2440,2025-04-01,amirispy
858,2025-04-01,roseau-load-flow
685,2025-04-01,deflex
763,2025-04-01,aristopy
334,2025-04-01,nrel-emerge
3347,2025-04-01,nempy
2157,2025-04-01,opender
873,2025-04-01,edisgo
10786,2025-04-01,pypsa
305,2025-04-01,opensduc
7516,2025-04-01,zen-garden
2241,2025-04-01,mosaik
49643,2025-04-01,nrel-pysam
616,2025-04-01,osier
1087,2025-04-01,switch-model
1208,2025-04-01,pybalmorel
385,2025-04-01,pymfm
1115,2025-04-01,omegalpes
237,2025-04-01,digripy
504,2025-04-01,ego
1377,2025-04-01,gridpath
