username,classification,company,location,repos
ANUSHREE1403,academic,,,gh:natlabrockies/sam
APepey,utility,one solar,ESP,gh:oemof/oemof-solph
APfeFSB,unknown,,,gh:energy-modelling-toolkit/dispa-set
APshreya,unknown,,,gh:natlabrockies/rodeo
AR-SmartHelio,professional,smarthelio,IND,"gh:nlr-distribution-suite/erad,gh:oemof/oemof-solph"
AR4Z,industry,,COL,gh:sanpen/veragrid
ARPST-UniMelb,unknown,,,gh:natlabrockies/pras
ARSayed,unknown,,,gh:e2niee/pandapower
ASC95,unknown,,,"gh:natlabrockies/reopt.jl,gh:nreca-bts/omf"
ASHEEM-GARWA,unknown,,,gh:energy-modelling-toolkit/dispa-set
ASMIftekhar,industry,microsoft,USA,gh:critical-infrastructure-systems-lab/pownet
ASPIRIN007,unknown,,,gh:gmlc-dispatches/dispatches
ASamarkRoth,unknown,,,gh:genxproject/genx.jl
ATAjhut,unknown,,,gh:calliope-project/calliope
ATouuuu,unknown,,,gh:iiasa/message_ix
AV-BD,unknown,,,gh:genesys-mod/genesysmod.jl
AVRCN,unknown,,,gh:lvorspel/digripy
AWABIE,unknown,,,gh:natlabrockies/sam
AYUSHMIT,unknown,,USA,gh:curent/andes
AadilLatif,government,national laboratory of the rockies,USA,gh:nlr-distribution-suite/erad
Aaron-MSB,academic,optimizeon,USA,gh:natlabrockies/sam
AaronHolm,industry,,USA,"gh:etsap-times/times_model,gh:genxproject/genx.jl,gh:grid-parity-exchange/egret,gh:juliaenergy/powerdynamics.jl,gh:natlabrockies/reeds-2.0,gh:nrel-sienna/powersimulations.jl,gh:osemosys/osemosys,gh:switch-model/switch,gh:temoaproject/temoa"
AaronHolmGPA,professional,dos/gpa/ra/an/ds,USA,gh:eiagov/bluesky
AaronPB,utility,plataforma solar de almeria - ciemat,ESP,"gh:natlabrockies/pysam,gh:pypsa/pypsa"
AayParekh,academic,graduate student at columbia university,USA,gh:genxproject/genx.jl
Ab1037,unknown,,,"gh:curent/andes,gh:lanl-ansi/powermodels.jl,gh:matpower/matpower,gh:nrel-sienna/powersimulations.jl"
Abbey-yhl,unknown,,,"gh:matpower/matpower,gh:rwl/pypower"
Abbhijith-Github,unknown,,,gh:critical-infrastructure-systems-lab/pownet
AbcSxyZ,unknown,,,gh:energyscope/energyscope
AbdelHedhili,unknown,,,"gh:powsybl/powsybl-core,gh:powsybl/powsybl-open-loadflow,gh:powsybl/pypowsybl"
Abdullah2969,unknown,,,gh:e2niee/pandapower
AbdullahAlawad,unknown,,,gh:energy-modelling-toolkit/dispa-set
Abeautifulsnow,unknown,,UKR,gh:calliope-project/calliope
AbedAyyad,utility,energy modelling hub,CAN,gl:sesit/copper
AbhiiGitHub,unknown,,,gh:ames-market/psst
Abhijeet1990,research,national renewable energy laboratory,USA,"gh:mzy2240/esa,gh:nrel-sienna/powersimulations.jl,gh:nrel-sienna/powersimulationsdynamics.jl"
AbhimanyuAryan,academic,cegid,ESP,gh:genxproject/genx.jl
Abhishek-yadv,industry,,,gh:pypsa/pypsa
AbhishekDhawale,academic,teri,,gh:iiasa/message_ix
AbhishekRoyalking,professional,om group traders,IND,gh:sienna-platform/powersimulations.jl
Abijith20,unknown,,,gh:matpower/matpower
AbletonX,unknown,,,"gh:curent/andes,gh:e2niee/pandapower,gh:mbheinen/bpa-ipf-tsp,gh:openipsl/openipsl,gh:pypsa/pypsa"
AboLregal,unknown,,,gh:matpower/matpower
AboodaA,unknown,,CAN,gh:optimal2050/energyrt
AbrahamAlvarezB,industry,invenia labs,,gh:matpower/matpower
Abrascha,unknown,,,gh:akkudoktor-eos/eos
AccelerateAnalyticsAdmin,unknown,,,gh:nreca-bts/omf
Ace-0f-Hearts,academic,,HUN,gh:quasi-software/resie
AceBage,unknown,,,gh:akkudoktor-eos/eos
AcerWang,professional,telegram me,CHN,gh:pypsa/pypsa
Achen615,unknown,,,gh:switch-model/switch
AchilleaResearch,unknown,,USA,gh:curent/andes
Acolasia-bot,unknown,,,gh:grid2op/grid2op
AdOpT-Bot,unknown,,,gh:uu-er/adopt-net0
AdamRJensen,academic,technical university of denmark,DNK,"gh:critical-infrastructure-systems-lab/pownet,gh:pypsa/pypsa,gh:uu-er/adopt-net0"
AdamZhengLu,academic,kunming university of science and technology / beijing normal university,CHN,gh:prep-next/prep-shot
Adarsh-365,academic,nitw,IND,"gh:changgang/steps,gh:curent/andes,gh:e2niee/pandapower,gh:manuvarkey/gelectrical"
Adelheide,unknown,,,gh:e2niee/pandapower
AdelineG,unknown,,,gl:diw-evu/dieter_public/dieterpy
Adiram97,unknown,,,gh:erf-model/erf
Aditya7171-maker,unknown,,,gh:pypsa/pypsa
Adjobs-fbook-vi,unknown,,,gh:tum-ens/urbs
Adlinke,industry,adlinke media & trump organisation,USA,gh:curent/andes
Adminius,unknown,,,gh:akkudoktor-eos/eos
Adog64,academic,rowan university,,gh:curent/andes
Adorism,unknown,,,gh:natlabrockies/sam
AdriLef,unknown,,,gh:osemosys/osemosys
Adrian8aFerrino,academic,,DEU,gh:oemof/oemof-solph
AdrianBoeger,unknown,,,gh:akkudoktor-eos/eos
AdrianDAlessandro,academic,imperial college london,GBR,"gh:energysystemsmodellinglab/muse2,gh:energysystemsmodellinglab/muse_os"
AdrianLsk,unknown,,NLD,gh:adgefficiency/energy-py
Adrien-Leerschool,unknown,,,gh:dynawo/dynawo
AdrienBlassiau,industry,air liquide,FRA,gh:dynawo/dynawo
AdrienGougeon,unknown,,,gh:e2niee/pandapower
AdrienneDB,unknown,,,gh:pypsa/pypsa
AdrienneRTE,unknown,,,gh:pypsa/pypsa
Aeishwaryab,academic,denmark technical university,DNK,gh:rwl/pypower
Aerivus1,unknown,,,gh:tum-ens/urbs
Aeroglyphic,unknown,,,"gh:natlabrockies/sam,gh:pypsa/pypsa"
Afan98412,unknown,,,gh:grid2op/grid2op
